;Area;Element;Item;Year;Unit;Value
0;Argentina;Yield;Apples;2016;hg/ha;223912.0
1;Argentina;Yield;Apples;2017;hg/ha;235386.0
2;Argentina;Yield;Apples;2018;hg/ha;213072.0
3;Argentina;Production;Apples;2016;tonnes;458908.0
4;Argentina;Production;Apples;2017;tonnes;458908.0
5;Argentina;Production;Apples;2018;tonnes;510478.0
6;Argentina;Yield;Bananas;2016;hg/ha;209247.0
7;Argentina;Yield;Bananas;2017;hg/ha;209343.0
8;Argentina;Yield;Bananas;2018;hg/ha;209440.0
9;Argentina;Production;Bananas;2016;tonnes;174644.0
10;Argentina;Production;Bananas;2017;tonnes;174615.0
11;Argentina;Production;Bananas;2018;tonnes;174585.0
12;Argentina;Yield;Cherries;2016;hg/ha;28417.0
13;Argentina;Yield;Cherries;2017;hg/ha;30220.0
14;Argentina;Yield;Cherries;2018;hg/ha;29790.0
15;Argentina;Production;Cherries;2016;tonnes;7207.0
16;Argentina;Production;Cherries;2017;tonnes;7246.0
17;Argentina;Production;Cherries;2018;tonnes;7285.0
18;Argentina;Yield;Tomatoes;2016;hg/ha;393807.0
19;Argentina;Yield;Tomatoes;2017;hg/ha;394319.0
20;Argentina;Yield;Tomatoes;2018;hg/ha;394832.0
21;Argentina;Production;Tomatoes;2016;tonnes;658237.0
22;Argentina;Production;Tomatoes;2017;tonnes;655861.0
23;Argentina;Production;Tomatoes;2018;tonnes;653485.0
24;Brazil;Yield;Apples;2016;hg/ha;308465.0
25;Brazil;Yield;Apples;2017;hg/ha;392355.0
26;Brazil;Yield;Apples;2018;hg/ha;361805.0
27;Brazil;Production;Apples;2016;tonnes;1055383.0
28;Brazil;Production;Apples;2017;tonnes;1307642.0
29;Brazil;Production;Apples;2018;tonnes;1195007.0
30;Brazil;Yield;Bananas;2016;hg/ha;142855.0
31;Brazil;Yield;Bananas;2017;hg/ha;142728.0
32;Brazil;Yield;Bananas;2018;hg/ha;150287.0
33;Brazil;Production;Bananas;2016;tonnes;6625211.0
34;Brazil;Production;Bananas;2017;tonnes;6584967.0
35;Brazil;Production;Bananas;2018;tonnes;6752171.0
36;Brazil;Yield;Tomatoes;2016;hg/ha;651112.0
37;Brazil;Yield;Tomatoes;2017;hg/ha;688145.0
38;Brazil;Yield;Tomatoes;2018;hg/ha;719404.0
39;Brazil;Production;Tomatoes;2016;tonnes;4166789.0
40;Brazil;Production;Tomatoes;2017;tonnes;4225414.0
41;Brazil;Production;Tomatoes;2018;tonnes;4110242.0
42;United States of America;Yield;Apples;2016;hg/ha;391856.0
43;United States of America;Yield;Apples;2017;hg/ha;394569.0
44;United States of America;Yield;Apples;2018;hg/ha;394802.0
45;United States of America;Production;Apples;2016;tonnes;5214040.0
46;United States of America;Production;Apples;2017;tonnes;5240670.0
47;United States of America;Production;Apples;2018;tonnes;4652500.0
48;United States of America;Yield;Bananas;2016;hg/ha;115204.0
49;United States of America;Yield;Bananas;2017;hg/ha;158413.0
50;United States of America;Yield;Bananas;2018;hg/ha;163756.0
51;United States of America;Production;Bananas;2016;tonnes;3387.0
52;United States of America;Production;Bananas;2017;tonnes;3992.0
53;United States of America;Production;Bananas;2018;tonnes;4274.0
54;United States of America;Yield;Cherries;2016;hg/ha;86902.0
55;United States of America;Yield;Cherries;2017;hg/ha;108960.0
56;United States of America;Yield;Cherries;2018;hg/ha;90828.0
57;United States of America;Production;Cherries;2016;tonnes;315454.0
58;United States of America;Production;Cherries;2017;tonnes;398140.0
59;United States of America;Production;Cherries;2018;tonnes;312430.0
60;United States of America;Yield;Tomatoes;2016;hg/ha;911398.0
61;United States of America;Yield;Tomatoes;2017;hg/ha;886625.0
62;United States of America;Yield;Tomatoes;2018;hg/ha;968079.0
63;United States of America;Production;Tomatoes;2016;tonnes;12877049.0
64;United States of America;Production;Tomatoes;2017;tonnes;11141862.0
65;United States of America;Production;Tomatoes;2018;tonnes;12612139.0
